Date| Title| Encabezado | SecLabel 
03/05/2017|no dan con eugenia y su hijo sigue preso|no dan con eugenia y su hijo sigue preso|sucesos
03/05/2017|el fit iria con olivero otra vez por la novena banca|el fit iria con olivero otra vez por la novena banca|politica
03/05/2017|el dique que esta solo y espera|el dique que esta solo y espera|ciudadanos
03/05/2017|mst y mas opcion para el mismo elector|mst y mas opcion para el mismo elector|politica
03/05/2017|hace 100 anos un puesto de archivista se ofrece|hace 100 anos un puesto de archivista se ofrece|ciudadanos
03/05/2017|gobernanza y datos en la ucc|gobernanza y datos en la ucc|ciudadanos
03/05/2017|jose maria rodriguez la tarifa propia estaba escondida|jose maria rodriguez la tarifa propia estaba escondida|politica
03/05/2017|un policia detenido y otros 9 imputados|un policia detenido y otros 9 imputados|sucesos
03/05/2017|parecido al ppp schiaretti respaldo la idea|parecido al ppp schiaretti respaldo la idea|politica
03/05/2017|carlos paz la que mas impacta|carlos paz la que mas impacta|ciudadanos
03/05/2017|mestre en su trinchera|mestre en su trinchera|politica
03/05/2017|sin celular pero con dolares|sin celular pero con dolares|sucesos
04/05/2017|preocupa el aumento de consultas por autoagresiones de adolescentes|preocupa el aumento de consultas por autoagresiones de adolescentes|ciudadanos
04/05/2017|maduro promete voto universal la oposicion no abandona las calles|maduro promete voto universal la oposicion no abandona las calles|mundo
04/05/2017|los sobrecostos de la burocracia|los sobrecostos de la burocracia|editorial
04/05/2017|por que la energia electrica es cara en cordoba|por que la energia electrica es cara en cordoba|negocios
04/05/2017|unc para la eleccion directa se imprimiran 220 mil boletas|unc para la eleccion directa se imprimiran 220 mil boletas|ciudadanos
04/05/2017|gasoductos el pj la ucr y el pro avalaron los cambios|gasoductos el pj la ucr y el pro avalaron los cambios|politica
04/05/2017|en solo ocho dias 19 policias fueron apartados por distintos delitos|en solo ocho dias 19 policias fueron apartados por distintos delitos|sucesos
04/05/2017|la nacion quiere hacer viviendas con privados|la nacion quiere hacer viviendas con privados|negocios
04/05/2017|norcorea arresta civil de eeuu y suma tension|norcorea arresta civil de eeuu y suma tension|mundo
04/05/2017|un ano sin carina drigani y un misterio irresuelto|un ano sin carina drigani y un misterio irresuelto|sucesos
04/05/2017|atilra va al paro y ahora dice que sancor no puede recibir un credito|atilra va al paro y ahora dice que sancor no puede recibir un credito|politica
04/05/2017|nace una cafeteria movil e inclusiva|nace una cafeteria movil e inclusiva|ciudadanos
04/05/2017|energia cara inversiones lejos pobreza cerca|energia cara inversiones lejos pobreza cerca|opinion
04/05/2017|piden menos trabas al tendido de redes|piden menos trabas al tendido de redes|negocios
04/05/2017|alejandra sanchez ya la buscan en buenos aires|alejandra sanchez ya la buscan en buenos aires|sucesos
